Site_ID,site_name,VI,variable,duration,intensity,ancient_group,family,genus,species,Lon,Lat,Elevation,Continent,Country,type,yr_strat,yr_end,yr_len,SOS_Month,EOS_Month,GS_Months,Num_GS_Months,lab,TMP_sd_gs_mean,PRE_sd_gs_mean,SR_sd_gs_mean,CO2_sd_gs_mean,VPD_sd_gs_mean,TRW_mean,TMP_mean,PRE_mean,SR_mean,CO2_mean,VPD_mean,TRW_cv,TMP_cv,PRE_cv,SR_cv,CO2_cv,VPD_cv,species_for_matching,phylo_depth,branch_length,sister_distance,phylo_match_type
1,africa_dza004,TRW,TRW,2,0.451,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.9,35.33,1756,africa,Algeria,Arid,1940,2012,73,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.34180507,22.44825982,72.84431899,2.584669362,0.531484858,0.937905244,16.41080699,280.5821961,1729.317827,334.4933741,0.866399829,0.493097229,0.044190991,0.274395352,0.019248861,0.070271111,0.056882404,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
2,africa_dza006,TRW,TRW,3,0.48737,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,6.66,35.28,1413,africa,Algeria,Arid,1940,2011,72,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.337454758,22.54228763,72.84560626,2.578469707,0.530756403,0.964797947,16.38842622,281.7611155,1729.115951,333.8003232,0.864993202,0.552381691,0.042984876,0.272799694,0.019360163,0.068624153,0.055642589,Pinus halepensis,304.191162,20.858865,41.71773,species_level
3,africa_dza011,TRW,TRW,4,0.54535,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,6.62,35.13,1273,africa,Algeria,Arid,1940,2011,72,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.337454758,22.54228763,72.84560626,2.578469707,0.530756403,1.001235092,16.38842622,281.7611155,1729.115951,333.8003232,0.864993202,0.631291343,0.042984876,0.272799694,0.019360163,0.068624153,0.055642589,Pinus halepensis,304.191162,20.858865,41.71773,species_level
4,africa_dza014,TRW,TRW,4,0.55358,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,6.47,35.21,1303,africa,Algeria,Arid,1940,2011,72,1,7,"1,2,3,4,5,6,7",7,78853,8.71074317,21.77314908,73.78236171,1.811709961,0.553648612,1.027414779,12.73392879,221.1625039,1342.444914,335.3582409,0.689682439,0.641332894,0.051312321,0.276009208,0.020870163,0.068287797,0.06511042,Pinus halepensis,304.191162,20.858865,41.71773,species_level
5,africa_dza017,TRW,TRW,3,0.19672,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,5.52,35.69,1751,africa,Algeria,Arid,1940,2011,72,1,6,"1,2,3,4,5,6",6,78132,6.807006232,20.11132877,71.55649479,0.826163934,0.356355343,0.934128652,12.06319467,207.0875035,1054.095196,335.9814206,0.538034325,0.259686322,0.053793241,0.245613132,0.025054323,0.068158577,0.082944977,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
6,africa_dza018,TRW,TRW,2,0.30115,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.49,35.3,1877,africa,Algeria,Arid,1940,2012,73,1,7,"1,2,3,4,5,6,7",7,78853,8.731706245,21.7634523,73.71989096,1.813478076,0.554753753,0.992601839,12.74266167,220.5342505,1342.954403,336.0514522,0.691164679,0.31492302,0.05125538,0.275942158,0.020968909,0.069929491,0.067069445,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
7,africa_dza022,TRW,TRW,2,0.30446,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.63,35.31,2073,africa,Algeria,Arid,1940,2014,75,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.337283744,22.26043371,72.96005449,2.592129344,0.531802986,0.921627624,16.43837066,279.5133377,1730.05513,335.9433072,0.868304359,0.317493303,0.044894753,0.277973177,0.019262423,0.073842291,0.057666858,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
8,africa_dza026,TRW,TRW,3,0.41436,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.15,35.17,1704,africa,Algeria,Arid,1940,2012,73,1,7,"1,2,3,4,5,6,7",7,78853,8.731706245,21.7634523,73.71989096,1.813478076,0.554753753,0.968544964,12.74266167,220.5342505,1342.954403,336.0514522,0.691164679,0.475312536,0.05125538,0.275942158,0.020968909,0.069929491,0.067069445,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
9,africa_dza030,TRW,TRW,2,0.38853,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.63,35.3,1970,africa,Algeria,Arid,1940,2011,72,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.337454758,22.54228763,72.84560626,2.578469707,0.530756403,0.964012963,16.38842622,281.7611155,1729.115951,333.8003232,0.864993202,0.404180085,0.042984876,0.272799694,0.019360163,0.068624153,0.055642589,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
10,africa_dza031,TRW,TRW,3,0.33474,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,6.96,35.38,1522,africa,Algeria,Arid,1940,2011,72,4,12,"4,5,6,7,8,9,10,11,12",9,78854,7.337454758,22.54228763,72.84560626,2.578469707,0.530756403,0.955145854,16.38842622,281.7611155,1729.115951,333.8003232,0.864993202,0.368918391,0.042984876,0.272799694,0.019360163,0.068624153,0.055642589,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
